date,negative,neutral,positive,compound,daily_count,original_date,original_open,original_high,original_low,original_close,original_adj close,original_volume,lagged_price_date,lagged_open,lagged_high,lagged_low,lagged_close,lagged_adj close,lagged_btc_volume,price_change,price_direction
2018-02-08,0.0153756906077348,0.9417693370165746,0.0428549723756906,0.0706058011049723,724,2018-02-08,7637.85986328125,8558.76953125,7637.85986328125,8265.58984375,8265.58984375,9346750464,2018-02-15,9488.3203125,10234.7998046875,9395.580078125,10166.400390625,10166.400390625,9062540288,1900.810546875,positive
2018-02-09,0.0118668310727496,0.9469395807644884,0.0411923551171393,0.078146362515413,811,2018-02-09,8271.83984375,8736.98046875,7884.7099609375,8736.98046875,8736.98046875,6784820224,2018-02-16,10135.7001953125,10324.099609375,9824.8203125,10233.900390625,10233.900390625,7296159744,1496.919921875,positive
2018-02-10,0.010356862745098,0.9490980392156864,0.0405503267973856,0.0715912418300653,765,2018-02-10,8720.080078125,9122.5498046875,8295.4697265625,8621.900390625,8621.900390625,7780960256,2018-02-17,10207.5,11139.5,10149.400390625,11112.7001953125,11112.7001953125,8660880384,2490.7998046875,positive
2018-02-11,0.0120754966887417,0.9469841059602648,0.0409377483443708,0.0671219867549668,755,2018-02-11,8616.1298828125,8616.1298828125,7931.10009765625,8129.97021484375,8129.97021484375,6122189824,2018-02-18,11123.400390625,11349.7998046875,10326.0,10551.7998046875,10551.7998046875,8744009728,2421.82958984375,positive
2018-02-12,0.0130269953051643,0.9356326291079812,0.0513345070422535,0.0920276995305164,852,2018-02-12,8141.43017578125,8985.919921875,8141.43017578125,8926.5703125,8926.5703125,6256439808,2018-02-19,10552.599609375,11273.7998046875,10513.2001953125,11225.2998046875,11225.2998046875,7652089856,2298.7294921875,positive
2018-02-13,0.014162224797219,0.9457520278099651,0.0400799536500579,0.0634790266512166,863,2018-02-13,8926.7197265625,8958.4697265625,8455.41015625,8598.3095703125,8598.3095703125,5696719872,2018-02-20,11231.7998046875,11958.5,11231.7998046875,11403.7001953125,11403.7001953125,9926540288,2805.390625,positive
2018-02-14,0.0141572104018912,0.9490709219858156,0.0367659574468085,0.0561517730496453,846,2018-02-14,8599.919921875,9518.5400390625,8599.919921875,9494.6298828125,9494.6298828125,7909819904,2018-02-21,11372.2001953125,11418.5,10479.099609375,10690.400390625,10690.400390625,9405339648,1195.7705078125,positive
2018-02-15,0.0170189701897018,0.9320420054200542,0.0509376693766937,0.0842121951219512,738,2018-02-15,9488.3203125,10234.7998046875,9395.580078125,10166.400390625,10166.400390625,9062540288,2018-02-22,10660.400390625,11039.099609375,9939.08984375,10005.0,10005.0,8040079872,161.400390625,negative
2018-02-16,0.0147187096774193,0.9345083870967742,0.0507729032258064,0.0915011612903225,775,2018-02-16,10135.7001953125,10324.099609375,9824.8203125,10233.900390625,10233.900390625,7296159744,2018-02-23,9937.0703125,10487.2998046875,9734.5595703125,10301.099609375,10301.099609375,7739500032,67.19921875,positive
2018-02-17,0.0124334470989761,0.946434584755404,0.04113196814562,0.0737409556313993,879,2018-02-17,10207.5,11139.5,10149.400390625,11112.7001953125,11112.7001953125,8660880384,2018-02-24,10287.7001953125,10597.2001953125,9546.9697265625,9813.0703125,9813.0703125,6917929984,1299.6298828125,negative
2018-02-18,0.0103314732142857,0.9494765625,0.0401852678571428,0.0743868303571428,896,2018-02-18,11123.400390625,11349.7998046875,10326.0,10551.7998046875,10551.7998046875,8744009728,2018-02-25,9796.419921875,9923.2197265625,9407.0595703125,9664.73046875,9664.73046875,5706939904,887.0693359375,negative
2018-02-19,0.012746126340882,0.945777115613826,0.0414719904648391,0.0719202622169249,839,2018-02-19,10552.599609375,11273.7998046875,10513.2001953125,11225.2998046875,11225.2998046875,7652089856,2018-02-26,9669.4296875,10475.0,9501.73046875,10366.7001953125,10366.7001953125,7287690240,858.599609375,negative
2018-02-20,0.0144988344988344,0.9468310023310024,0.0386666666666666,0.0591939393939393,858,2018-02-20,11231.7998046875,11958.5,11231.7998046875,11403.7001953125,11403.7001953125,9926540288,2018-02-27,10393.900390625,10878.5,10246.099609375,10725.599609375,10725.599609375,6966179840,678.1005859375,negative
2018-02-21,0.0129377245508982,0.9477221556886228,0.0393389221556886,0.0660692215568862,835,2018-02-21,11372.2001953125,11418.5,10479.099609375,10690.400390625,10690.400390625,9405339648,2018-02-28,10687.2001953125,11089.7998046875,10393.099609375,10397.900390625,10397.900390625,6936189952,292.5,negative
